name,party,here,registered,absent,for,against,abstain,no-vote
ЙОРДАН АПОСТОЛОВ АПОСТОЛОВ,ОП,267,6,153,2961,436,401,7456
РОСЕН ЖИВКОВ ИВАНОВ,ОП,393,0,33,7389,717,719,2429
СЛАВЧО СТОЕВ АТАНАСОВ,ОП,332,12,82,2626,183,520,7925
ТОМИСЛАВ ПЕЙКОВ ДОНЧЕВ,ГЕРБ,7,0,2,59,14,7,60
КОНСТАНТИН ВЕСЕЛИНОВ ПОПОВ,ГЕРБ,285,2,139,6647,620,685,3302
НИКОЛА ИЛИЕВ ДИНКОВ,ПГБСП,262,26,138,2945,533,1198,6578
АНГЕЛ ИЛИЕВ ИСАЕВ,НЕЗ,189,26,211,1728,147,192,9187
АННА ВАСИЛЕВА АЛЕКСАНДРОВА,ГЕРБ,228,0,189,8572,807,758,977
ДИМИТЪР ИВАНОВ ДАНЧЕВ,ПГБСП,226,26,174,2901,735,969,6649
ДИМИТЪР НИКОЛОВ ЛАЗАРОВ,ГЕРБ,288,12,117,4735,651,380,5348
ИВО АНГЕЛОВ ХРИСТОВ,ПГБСП,157,105,164,1376,329,321,9228
ЙОРДАНКА ИВАНОВА ФИКИРЛИЙСКА,ГЕРБ,109,0,62,3457,430,239,631
ПЕТЪР ХРИСТОВ ПЕТРОВ,ОП,367,2,57,5236,690,436,4892
ХАЙРИ РЕДЖЕБОВ САДЪКОВ,ДПС,269,12,145,3316,394,515,7029
СТАНИСЛАВ ИВАНОВ СТОЯНОВ,ГЕРБ,78,0,86,2542,162,246,883
СТОЙНО МИТЕВ СТОЙНОВ,ГЕРБ,65,1,12,1366,160,117,210
ДИЛЯН СТАНИМИРОВ ДИМИТРОВ,ГЕРБ,311,2,113,7024,780,559,2891
ЕМИЛ МАРИНОВ ХРИСТОВ,ГЕРБ,304,4,118,6172,378,851,3853
РАЛИЦА ТРИЛКОВА ДОБРЕВА,ГЕРБ,360,0,19,8224,987,432,229
СТОЯН МИХАЙЛОВ МИРЧЕВ,ПГБСП,79,135,212,1829,645,666,8114
ЕЛЕНА СТЕФАНОВА АКСИЕВА,ВОЛЯ,5,37,229,590,11,105,7277
АЛЕКСАНДЪР ПЕТРОВ АЛЕКСАНДРОВ,ГЕРБ,254,0,172,8678,1196,373,1007
ГЕОРГИ СТРАХИЛОВ СВИЛЕНСКИ,ПГБСП,268,25,133,2224,703,675,7652
ТАНЕР МЕХМЕД АЛИ,ДПС,245,5,176,2042,316,446,8450
ЯВОР БОЖИЛОВ НОТЕВ,ОП,250,18,158,2172,153,269,8660
ЮЛИЯН МИХАЙЛОВ ПАПАШИМОВ,ГЕРБ,295,0,131,7950,889,634,1781
ДЕСИСЛАВА АНГЕЛОВА ТОДОРОВА,ГЕРБ,253,9,164,7880,786,709,1879
ДИАНА ИВАНОВА ЙОРДАНОВА,ГЕРБ,16,0,43,497,40,66,299
ИВАН ВАЛЕНТИНОВ ИВАНОВ,ПГБСП,200,18,208,1621,454,482,8697
ЛЮБОМИР БОЙКОВ БОНЕВ,ПГБСП,262,36,128,2316,859,787,7292
МЕНДА КИРИЛОВА СТОЯНОВА,ГЕРБ,102,11,313,4331,663,218,6042
ПЛАМЕН ДУЛЧЕВ НУНЕВ,ГЕРБ,171,11,244,4792,688,300,5474
ИВАЙЛО АНГЕЛОВ МОСКОВСКИ,ГЕРБ,30,2,13,228,26,13,1039
БОЙКО МЕТОДИЕВ БОРИСОВ,ГЕРБ,4,1,3,22,2,1,100
АНДОН ДИМОВ ДОНЧЕВ,ВОЛЯ,277,4,135,3048,104,584,7315
АСЯ АТАНАСОВА ПЕЕВА,ГЕРБ,319,2,105,7474,895,489,2396
ВАЛЕРИ МИРЧЕВ ЖАБЛЯНОВ,ПГБСП,180,62,184,1511,478,412,8853
ВАСИЛ ЦВЕТКОВ ЦВЕТКОВ,ГЕРБ,136,4,286,7282,721,690,2561
ДАНКА ЕВСТАТИЕВА ЗИДАРОВА-ЛЮРТОВА,ГЕРБ,43,0,51,1775,170,232,229
ДОБРИН НЕНОВ ДАНЕВ,ПГБСП,71,2,21,652,159,324,1271
КАМЕН КОСТОВ КОСТАДИНОВ,ДПС,2,1,1,8,0,1,43
АТАНАС ИВАНОВ ТАШКОВ,ГЕРБ,295,4,127,7958,1011,501,1784
БОГДАН ЕМИЛОВ БОЦЕВ,ПГБСП,220,21,185,1504,403,416,8931
ЕМИЛИЯ ВЕСЕЛИНОВА СТАНЕВА-МИЛКОВА,ГЕРБ,302,5,110,7517,830,672,2095
ПЕНЧО ПЛАМЕНОВ МИЛКОВ,ПГБСП,146,18,168,1971,564,753,5560
ТЕОДОРА АТАНАСОВА ХАЛАЧЕВА,ПГБСП,165,52,209,2320,538,748,7648
ЕВДОКИЯ СЛАВЧОВА АСЕНОВА,ПГБСП,79,0,15,1000,222,368,816
ДЕСИСЛАВА ЙОРДАНОВА КОСТАДИНОВА-ГУШЕВА,ГЕРБ,330,6,81,7148,862,366,2738
ДЖЕМА МАРИНОВА ГРОЗДАНОВА,ГЕРБ,253,6,158,4644,650,348,5460
СИМЕОН ХРИСТОВ СИМЕОНОВ,ДПС,312,5,109,4820,369,650,5415
МАРИЯ ЙОРДАНОВА ЦВЕТКОВА,ОП,50,8,39,1393,77,216,764
АТАНАС СЛАВЧЕВ СТОЯНОВ,ОП,271,3,60,2630,275,395,5559
ЙОРДАН ИЛИЕВ ЙОРДАНОВ,ОП,388,3,35,5541,532,587,4594
ПЛАМЕН ИВАНОВ МАНУШЕВ,ГЕРБ,305,2,119,5984,806,501,3963
ГАЛЯ СТОЯНОВА ЖЕЛЯЗКОВА,ГЕРБ,167,1,78,4332,431,396,1198
РАДОСЛАВА ПЛАМЕН ЧЕКАНСКА,ГЕРБ,253,1,77,6805,754,398,867
ДОНКА ДИМОВА СИМЕОНОВА,ПГБСП,169,1,256,3151,622,1021,6460
ДОРА СТОЯНОВА ХРИСТОВА,ВОЛЯ,252,13,161,4158,120,757,6219
ЙОРДАН КИРИЛОВ ЦОНЕВ,ДПС,154,71,201,1148,189,182,9735
РУМЕН ВАСИЛЕВ ГЕЧЕВ,ПГБСП,215,39,172,1480,466,403,8905
ТОДОР БАЙЧЕВ БАЙЧЕВ,ПГБСП,274,13,139,2416,715,889,7234
ИВАН СТЕФАНОВ ВЪЛКОВ,ГЕРБ,168,10,188,6020,501,592,3146
ВЕНКА КОНСТАНТИНОВА СТОЯНОВА,ГЕРБ,321,0,96,8010,841,656,1607
КРАСИМИР МИТКОВ СЪБЕВ,ГЕРБ,328,2,87,8452,926,624,1112
ЦВЕТА ВЪЛЧЕВА КАРАЯНЧЕВА,ГЕРБ,195,10,221,3748,749,242,6515
АНАСТАС МАРИНОВ ПОПДИМИТРОВ,ПГБСП,97,1,16,485,185,174,1913
АЛБЕНА ВЛАДИМИРОВА НАЙДЕНОВА,ВОЛЯ,318,8,100,4849,151,719,5535
АЛЕКСАНДЪР ДИМИТРОВ ПАУНОВ,ПГБСП,299,4,123,2063,536,691,7964
ДЕНЧО СТОЯНОВ БОЯДЖИЕВ,ПГБСП,116,12,204,1621,449,503,6275
